Sales Person,Geography,Product,Date,Sales,Boxes
Jehu Rudeforth,New Zealand  ,99% Dark & Pure,24/10/2023,"$2,592 ",296
Dennison Crosswaite,New Zealand  ,Organic Choco Syrup,25/10/2023,"$5,312 ",493
Madelene Upcott,UK,Manuka Honey Choco,25/10/2023,"$12,132 ",286
Barr Faughny,New Zealand   ,Almond Choco,25/10/2023,"$9,236 ",442
Gunar Cockshoot,UK,Peanut Butter Cubes,25/10/2023,"$10,287 ",829
Karlen McCaffrey,USA  ,Baker's Choco Chips,25/10/2023,"$6,802 ",25
Karlen McCaffrey,Canada,White Choc,25/10/2023,"$5,092 ",1302
Andria Kimpton,USA  ,Orange Choco,25/10/2023,"$3,994 ",290
Roddy Speechley,Australia,99% Dark & Pure,25/10/2023,"$6,838 ",595
Rafaelita Blaksland,Australia   ,Almond Choco,25/10/2023,"$4,745 ",432
Karlen McCaffrey,New Zealand  ,Peanut Butter Cubes,25/10/2023,"$9,497 ",717
Husein Augar,India  ,Milk Bars,25/10/2023,"$4,563 ",75
Ches Bonnell,USA ,Choco Coated Almonds,25/10/2023,"$1,269 ",201
Karlen McCaffrey,Australia,Peanut Butter Cubes,25/10/2023,"$3,616 ",461
Gunar Cockshoot,UK,Spicy Special Slims,25/10/2023,"$1,040 ",66
Jehu Rudeforth,New Zealand   ,Manuka Honey Choco,25/10/2023,"$2,864 ",336
Roddy Speechley,UK   ,Caramel Stuffed Bars,25/10/2023,"$4,534 ",572
Beverie Moffet,USA,Spicy Special Slims,25/10/2023,"$1,465 ",45
Jan Morforth,Canada  ,Eclairs,26/10/2023,"$3,101 ",384
Gigi Bohling,India  ,Smooth Silky Salty,26/10/2023,"$1,964 ",385
Gigi Bohling,India   ,70% Dark Bites,26/10/2023,$320 ,566
Gunar Cockshoot,UK ,85% Dark Bars,26/10/2023,"$1,127 ",250
Kelci Walkden,Australia  ,Peanut Butter Cubes,26/10/2023,"$2,966 ",23
Oby Sorrel,India   ,Fruit & Nut Bars,26/10/2023,"$8,406 ",672
Oby Sorrel,New Zealand   ,50% Dark Bites,26/10/2023,"$7,828 ",181
Roddy Speechley,India   ,Almond Choco,26/10/2023,"$5,429 ",363
Beverie Moffet,New Zealand ,Organic Choco Syrup,26/10/2023,"$13,061 ",282
Madelene Upcott,Canada   ,Spicy Special Slims,26/10/2023,"$1,897 ",185
Ches Bonnell,India ,99% Dark & Pure,26/10/2023,$61 ,19
Kelci Walkden,New Zealand,Organic Choco Syrup,26/10/2023,"$6,338 ",292
Gigi Bohling,UK   ,Smooth Silky Salty,26/10/2023,"$6,559 ",367
Rafaelita Blaksland,New Zealand,50% Dark Bites,26/10/2023,"$4,448 ",66
Jehu Rudeforth,Canada,50% Dark Bites,26/10/2023,"$8,935 ",188
Barr Faughny,UK ,Drinking Coco,26/10/2023,"$4,986 ",238
Camilla Castle,UK,White Choc,26/10/2023,$347 ,42
Brien Boise,USA  ,Almond Choco,26/10/2023,"$13,723 ",249
Beverie Moffet,Canada  ,70% Dark Bites,26/10/2023,"$6,174 ",419
Kaine Padly,India,Almond Choco,27/10/2023,"$3,231 ",422
Madelene Upcott,New Zealand   ,Mint Chip Choco,27/10/2023,"$3,404 ",390
Marney O'Breen,India ,Choco Coated Almonds,27/10/2023,$14 ,41
Mallorie Waber,UK ,Manuka Honey Choco,27/10/2023,"$10,436 ",263
Karlen McCaffrey,Australia,85% Dark Bars,27/10/2023,"$8,618 ",82
Curtice Advani,India,Eclairs,27/10/2023,"$5,384 ",63
Brien Boise,New Zealand  ,85% Dark Bars,27/10/2023,"$6,613 ",51
Camilla Castle,UK  ,Eclairs,27/10/2023,"$1,476 ",522
Dennison Crosswaite,India ,Manuka Honey Choco,27/10/2023,"$1,001 ",203
Mallorie Waber,Canada ,Almond Choco,27/10/2023,"$3,467 ",174
Karlen McCaffrey,USA   ,Eclairs,27/10/2023,$815 ,34
Dennison Crosswaite,Canada ,Raspberry Choco,27/10/2023,"$12,636 ",1243
Kaine Padly,Canada ,Milk Bars,27/10/2023,"$11,205 ",245
Marney O'Breen,New Zealand   ,Orange Choco,27/10/2023,"$4,120 ",188
Gigi Bohling,UK  ,70% Dark Bites,27/10/2023,"$5,715 ",966
Jehu Rudeforth,UK  ,Orange Choco,27/10/2023,"$9,104 ",125
Brien Boise,India  ,Choco Coated Almonds,27/10/2023,"$4,700 ",626
Dotty Strutley,New Zealand ,Raspberry Choco,27/10/2023,"$7,745 ",720
Kaine Padly,USA   ,Organic Choco Syrup,27/10/2023,"$5,486 ",56
Wilone O'Kielt,New Zealand   ,Peanut Butter Cubes,27/10/2023,"$7,277 ",352
Camilla Castle,Australia   ,85% Dark Bars,27/10/2023,"$1,449 ",427
Wilone O'Kielt,Australia ,70% Dark Bites,27/10/2023,"$3,843 ",383
Marney O'Breen,India  ,Manuka Honey Choco,27/10/2023,"$1,690 ",17
Camilla Castle,UK ,70% Dark Bites,27/10/2023,"$2,248 ",954
Andria Kimpton,UK   ,Milk Bars,27/10/2023,"$3,816 ",157
Van Tuxwell,USA,Eclairs,27/10/2023,$749 ,250
Marney O'Breen,Australia  ,70% Dark Bites,30/10/2023,"$1,888 ",239
Karlen McCaffrey,USA,Drinking Coco,30/10/2023,"$4,649 ",692
Roddy Speechley,USA,Fruit & Nut Bars,30/10/2023,"$18,371 ",617
Dotty Strutley,UK  ,After Nines,30/10/2023,"$1,186 ",226
Gunar Cockshoot,UK ,99% Dark & Pure,30/10/2023,"$10,856 ",51
Kaine Padly,UK ,99% Dark & Pure,30/10/2023,"$8,836 ",344
Gigi Bohling,Australia,Baker's Choco Chips,30/10/2023,"$5,855 ",91
Roddy Speechley,USA   ,70% Dark Bites,30/10/2023,"$10,613 ",881
Kelci Walkden,New Zealand ,50% Dark Bites,30/10/2023,"$4,813 ",1161
Husein Augar,India ,Caramel Stuffed Bars,30/10/2023,"$3,596 ",588
Jan Morforth,New Zealand   ,Caramel Stuffed Bars,30/10/2023,"$7,106 ",310
Dotty Strutley,Australia ,Caramel Stuffed Bars,30/10/2023,"$12,364 ",144
Camilla Castle,Australia,Milk Bars,30/10/2023,"$3,924 ",41
Beverie Moffet,UK,Eclairs,30/10/2023,"$3,848 ",270
Kelci Walkden,India,Milk Bars,30/10/2023,$758 ,70
Wilone O'Kielt,India  ,Orange Choco,30/10/2023,"$7,668 ",224
Mallorie Waber,India,Peanut Butter Cubes,30/10/2023,"$11,741 ",1078
Van Tuxwell,UK,Manuka Honey Choco,30/10/2023,"$1,600 ",11
Curtice Advani,New Zealand ,Peanut Butter Cubes,30/10/2023,"$9,178 ",164
Kaine Padly,USA ,Organic Choco Syrup,30/10/2023,"$3,659 ",60
Oby Sorrel,India   ,99% Dark & Pure,30/10/2023,"$3,953 ",115
Karlen McCaffrey,Australia ,Manuka Honey Choco,30/10/2023,"$3,328 ",315
Van Tuxwell,India  ,Orange Choco,30/10/2023,"$2,777 ",275
Kaine Padly,USA,White Choc,30/10/2023,"$5,324 ",440
Barr Faughny,Canada ,After Nines,30/10/2023,"$4,849 ",534
Gunar Cockshoot,New Zealand   ,Drinking Coco,30/10/2023,"$5,000 ",1175
Curtice Advani,USA,After Nines,30/10/2023,"$1,089 ",164
Madelene Upcott,Australia  ,Baker's Choco Chips,30/10/2023,"$5,362 ",636
Camilla Castle,India  ,White Choc,30/10/2023,"$3,888 ",515
Roddy Speechley,USA,White Choc,30/10/2023,"$3,695 ",428
Dotty Strutley,New Zealand   ,Smooth Silky Salty,31/10/2023,"$1,892 ",8
Jehu Rudeforth,India,White Choc,31/10/2023,"$6,941 ",152
Husein Augar,Canada  ,Drinking Coco,31/10/2023,"$3,470 ",225
Camilla Castle,Australia   ,Choco Coated Almonds,31/10/2023,"$1,422 ",76
Curtice Advani,Australia  ,Spicy Special Slims,31/10/2023,"$3,006 ",67
Mallorie Waber,UK ,After Nines,31/10/2023,$234 ,256
Mallorie Waber,Australia,Organic Choco Syrup,31/10/2023,"$13,172 ",953
Madelene Upcott,Australia,After Nines,31/10/2023,"$12,274 ",4
Jan Morforth,USA   ,Peanut Butter Cubes,31/10/2023,"$10,436 ",217
Curtice Advani,India,Milk Bars,31/10/2023,"$9,468 ",1
Gigi Bohling,Canada,Organic Choco Syrup,31/10/2023,"$16,027 ",34
Kelci Walkden,Australia   ,Caramel Stuffed Bars,31/10/2023,"$15,098 ",212
Ches Bonnell,UK   ,After Nines,31/10/2023,"$5,013 ",121
Jehu Rudeforth,Canada  ,50% Dark Bites,31/10/2023,"$10,064 ",96
Kelci Walkden,New Zealand   ,99% Dark & Pure,31/10/2023,"$10,667 ",455
Oby Sorrel,Australia   ,Mint Chip Choco,31/10/2023,"$4,948 ",272
Dennison Crosswaite,UK,Caramel Stuffed Bars,31/10/2023,"$3,186 ",667
Dennison Crosswaite,India  ,99% Dark & Pure,31/10/2023,"$9,241 ",96
Jan Morforth,UK,Raspberry Choco,31/10/2023,"$1,397 ",881
Roddy Speechley,UK   ,Almond Choco,31/10/2023,"$7,214 ",38
Brien Boise,Australia  ,70% Dark Bites,31/10/2023,"$3,728 ",1081
Dotty Strutley,Canada,Mint Chip Choco,31/10/2023,"$1,487 ",250
Gigi Bohling,UK  ,Fruit & Nut Bars,31/10/2023,"$5,850 ",232
Rafaelita Blaksland,Canada,Raspberry Choco,31/10/2023,"$13,984 ",357
Dotty Strutley,UK ,Eclairs,1/11/2023,"$4,923 ",49
Wilone O'Kielt,UK  ,Raspberry Choco,1/11/2023,$437 ,1253
Brien Boise,Australia   ,Baker's Choco Chips,1/11/2023,"$12,722 ",102
Wilone O'Kielt,India ,Smooth Silky Salty,1/11/2023,"$10,676 ",392
Gigi Bohling,Canada   ,Caramel Stuffed Bars,1/11/2023,"$5,879 ",294
Van Tuxwell,UK   ,Almond Choco,1/11/2023,$974 ,565
Curtice Advani,India  ,Peanut Butter Cubes,1/11/2023,"$1,496 ",397
Dotty Strutley,USA,Caramel Stuffed Bars,1/11/2023,"$8,404 ",639
Mallorie Waber,Australia  ,Choco Coated Almonds,1/11/2023,"$8,379 ",25
Madelene Upcott,UK   ,Baker's Choco Chips,1/11/2023,"$10,485 ",564
Beverie Moffet,USA  ,Eclairs,1/11/2023,$128 ,142
Beverie Moffet,New Zealand,Milk Bars,1/11/2023,"$3,308 ",101
Roddy Speechley,New Zealand,Choco Coated Almonds,1/11/2023,"$4,741 ",28
Gunar Cockshoot,USA,White Choc,1/11/2023,"$3,659 ",412
Curtice Advani,Canada  ,Smooth Silky Salty,1/11/2023,"$2,858 ",261
Mallorie Waber,Australia ,Orange Choco,1/11/2023,"$3,413 ",599
Madelene Upcott,India  ,Milk Bars,1/11/2023,$506 ,195
Dotty Strutley,India ,Caramel Stuffed Bars,1/11/2023,"$1,298 ",433
Beverie Moffet,India,85% Dark Bars,1/11/2023,"$2,588 ",22
Kelci Walkden,New Zealand  ,Manuka Honey Choco,1/11/2023,"$5,180 ",418
Wilone O'Kielt,Canada ,Raspberry Choco,1/11/2023,"$3,438 ",216
Van Tuxwell,Canada ,After Nines,1/11/2023,"$6,480 ",75
Oby Sorrel,Australia   ,Raspberry Choco,1/11/2023,"$1,703 ",1315
Mallorie Waber,UK ,Manuka Honey Choco,1/11/2023,"$2,331 ",317
Andria Kimpton,USA,After Nines,1/11/2023,"$2,628 ",6
Madelene Upcott,India  ,Eclairs,1/11/2023,"$1,505 ",755
Van Tuxwell,Australia ,After Nines,2/11/2023,"$3,728 ",249
Brien Boise,New Zealand,Manuka Honey Choco,2/11/2023,$997 ,272
Gigi Bohling,Canada ,Smooth Silky Salty,2/11/2023,"$5,639 ",994
Dennison Crosswaite,Canada   ,99% Dark & Pure,2/11/2023,"$1,089 ",116
Karlen McCaffrey,USA,Almond Choco,2/11/2023,"$2,822 ",356
Wilone O'Kielt,Canada   ,70% Dark Bites,2/11/2023,"$6,878 ",113
Andria Kimpton,New Zealand   ,85% Dark Bars,2/11/2023,"$7,520 ",164
Marney O'Breen,Canada   ,Milk Bars,2/11/2023,"$2,813 ",124
Husein Augar,Canada   ,85% Dark Bars,3/11/2023,"$12,436 ",494
Gigi Bohling,Australia  ,Peanut Butter Cubes,3/11/2023,"$6,012 ",676
Kelci Walkden,Australia,Mint Chip Choco,3/11/2023,$466 ,220
Rafaelita Blaksland,Australia  ,Caramel Stuffed Bars,3/11/2023,"$1,289 ",264
Dotty Strutley,UK  ,85% Dark Bars,3/11/2023,"$7,292 ",98
Roddy Speechley,Australia   ,Baker's Choco Chips,3/11/2023,"$9,257 ",510
Kelci Walkden,Australia  ,Spicy Special Slims,3/11/2023,"$8,615 ",124
Curtice Advani,USA ,Baker's Choco Chips,3/11/2023,$268 ,167
Van Tuxwell,Canada ,Mint Chip Choco,3/11/2023,"$4,545 ",275
Camilla Castle,Australia,99% Dark & Pure,3/11/2023,"$7,274 ",109
Kelci Walkden,New Zealand,Caramel Stuffed Bars,3/11/2023,"$1,460 ",492
Jan Morforth,New Zealand  ,50% Dark Bites,3/11/2023,"$11,342 ",143
Mallorie Waber,Australia,White Choc,3/11/2023,"$1,148 ",63
Rafaelita Blaksland,India   ,Baker's Choco Chips,3/11/2023,"$2,174 ",197
Karlen McCaffrey,New Zealand ,After Nines,3/11/2023,"$10,773 ",207
Wilone O'Kielt,Canada  ,Manuka Honey Choco,3/11/2023,"$2,795 ",492
Kaine Padly,New Zealand,Choco Coated Almonds,3/11/2023,$223 ,108
Gunar Cockshoot,New Zealand  ,85% Dark Bars,3/11/2023,$932 ,994
Andria Kimpton,New Zealand   ,Mint Chip Choco,3/11/2023,"$6,023 ",230
Mallorie Waber,Australia  ,Eclairs,3/11/2023,"$5,663 ",108
Rafaelita Blaksland,UK   ,Fruit & Nut Bars,3/11/2023,"$6,296 ",195
Mallorie Waber,New Zealand  ,Mint Chip Choco,6/11/2023,"$3,427 ",25
Barr Faughny,Australia  ,After Nines,6/11/2023,"$3,101 ",594
Barr Faughny,Australia  ,Peanut Butter Cubes,6/11/2023,"$10,127 ",311
Gigi Bohling,USA  ,Fruit & Nut Bars,6/11/2023,"$5,924 ",57
Camilla Castle,Canada ,Peanut Butter Cubes,6/11/2023,"$8,107 ",406
Jan Morforth,New Zealand ,50% Dark Bites,6/11/2023,"$20,468 ",108
Madelene Upcott,Canada  ,70% Dark Bites,6/11/2023,$558 ,27
Karlen McCaffrey,Canada   ,Eclairs,6/11/2023,"$3,704 ",572
Brien Boise,India,Peanut Butter Cubes,6/11/2023,"$8,620 ",252
Mallorie Waber,USA ,Mint Chip Choco,6/11/2023,"$1,933 ",31
Kelci Walkden,UK  ,Caramel Stuffed Bars,6/11/2023,"$8,078 ",105
Mallorie Waber,Australia,Spicy Special Slims,6/11/2023,"$2,907 ",459
Andria Kimpton,Canada   ,Baker's Choco Chips,6/11/2023,$371 ,651
Camilla Castle,New Zealand   ,Spicy Special Slims,6/11/2023,"$2,653 ",165
Marney O'Breen,USA ,Caramel Stuffed Bars,6/11/2023,"$1,053 ",192
Jan Morforth,New Zealand ,Milk Bars,6/11/2023,"$4,221 ",9
Dotty Strutley,USA ,Peanut Butter Cubes,6/11/2023,"$4,849 ",196
Camilla Castle,India  ,Eclairs,6/11/2023,"$1,665 ",175
Dotty Strutley,India   ,Fruit & Nut Bars,6/11/2023,"$1,204 ",290
Madelene Upcott,Canada  ,Drinking Coco,6/11/2023,"$6,305 ",274
Dennison Crosswaite,New Zealand ,Orange Choco,6/11/2023,"$8,390 ",162
Dennison Crosswaite,Canada,Orange Choco,6/11/2023,"$4,829 ",758
Roddy Speechley,Canada ,Manuka Honey Choco,6/11/2023,$272 ,160
Brien Boise,Canada  ,70% Dark Bites,6/11/2023,"$9,959 ",853
Oby Sorrel,Australia ,White Choc,6/11/2023,"$9,596 ",150
Ches Bonnell,Canada ,Smooth Silky Salty,7/11/2023,"$3,643 ",117
Oby Sorrel,India,99% Dark & Pure,7/11/2023,"$8,426 ",295
Camilla Castle,India   ,Orange Choco,7/11/2023,"$15,273 ",367
Van Tuxwell,New Zealand  ,After Nines,7/11/2023,"$7,022 ",609
Beverie Moffet,India ,Baker's Choco Chips,7/11/2023,"$3,521 ",191
Wilone O'Kielt,USA,Peanut Butter Cubes,7/11/2023,"$8,444 ",89
Wilone O'Kielt,UK  ,Manuka Honey Choco,7/11/2023,"$3,465 ",83
Jan Morforth,India,Choco Coated Almonds,7/11/2023,$929 ,220
Gunar Cockshoot,USA  ,Smooth Silky Salty,7/11/2023,"$2,988 ",250
Van Tuxwell,USA,Organic Choco Syrup,7/11/2023,"$2,185 ",123
Oby Sorrel,India,Choco Coated Almonds,7/11/2023,"$9,115 ",97
Madelene Upcott,Canada   ,Drinking Coco,8/11/2023,"$4,277 ",600
Dennison Crosswaite,India ,70% Dark Bites,8/11/2023,$920 ,510
Mallorie Waber,USA  ,White Choc,8/11/2023,$385 ,141
Dotty Strutley,New Zealand ,Spicy Special Slims,8/11/2023,"$3,116 ",206
Madelene Upcott,New Zealand   ,Caramel Stuffed Bars,8/11/2023,$722 ,295
Jan Morforth,Australia  ,Almond Choco,8/11/2023,"$7,324 ",953
Rafaelita Blaksland,New Zealand   ,Manuka Honey Choco,8/11/2023,"$1,636 ",113
Rafaelita Blaksland,Australia ,Raspberry Choco,8/11/2023,"$1,267 ",321
Mallorie Waber,Australia  ,Caramel Stuffed Bars,8/11/2023,"$4,025 ",662
Dotty Strutley,Canada,Eclairs,8/11/2023,"$4,556 ",126
Dotty Strutley,New Zealand,Choco Coated Almonds,8/11/2023,"$15,311 ",90
Barr Faughny,Canada ,85% Dark Bars,8/11/2023,"$8,276 ",26
Madelene Upcott,UK   ,Eclairs,8/11/2023,"$2,270 ",333
Jehu Rudeforth,Australia  ,Mint Chip Choco,8/11/2023,"$3,578 ",273
Ches Bonnell,India   ,Drinking Coco,8/11/2023,"$5,254 ",715
Kelci Walkden,India,Mint Chip Choco,8/11/2023,"$3,751 ",253
Dennison Crosswaite,Canada,Drinking Coco,9/11/2023,"$4,379 ",549
Oby Sorrel,UK,Organic Choco Syrup,9/11/2023,"$13,932 ",41
Jehu Rudeforth,India,99% Dark & Pure,9/11/2023,"$3,170 ",33
Van Tuxwell,India ,85% Dark Bars,9/11/2023,"$5,238 ",514
Jehu Rudeforth,New Zealand ,Drinking Coco,9/11/2023,"$6,449 ",57
Kaine Padly,UK   ,Peanut Butter Cubes,9/11/2023,"$5,144 ",685
Oby Sorrel,Canada  ,After Nines,9/11/2023,"$4,766 ",729
Dennison Crosswaite,India  ,Milk Bars,9/11/2023,"$2,777 ",131
Ches Bonnell,India ,Orange Choco,9/11/2023,"$6,869 ",453
Husein Augar,Australia ,Peanut Butter Cubes,9/11/2023,"$6,615 ",441
Kaine Padly,UK  ,85% Dark Bars,9/11/2023,"$5,288 ",38
Roddy Speechley,New Zealand   ,50% Dark Bites,9/11/2023,"$12,105 ",526
Van Tuxwell,USA ,85% Dark Bars,9/11/2023,$182 ,446
Ches Bonnell,UK  ,Organic Choco Syrup,9/11/2023,"$3,706 ",246
Karlen McCaffrey,New Zealand ,Caramel Stuffed Bars,9/11/2023,"$5,787 ",636
Kaine Padly,UK,50% Dark Bites,9/11/2023,"$2,243 ",421
Oby Sorrel,Canada   ,70% Dark Bites,9/11/2023,"$1,949 ",52
Rafaelita Blaksland,USA   ,85% Dark Bars,9/11/2023,"$9,351 ",237
Barr Faughny,Australia   ,Mint Chip Choco,9/11/2023,"$7,718 ",205
Camilla Castle,Australia  ,70% Dark Bites,9/11/2023,"$6,417 ",255
Oby Sorrel,UK,Almond Choco,9/11/2023,"$4,835 ",268
Brien Boise,New Zealand   ,Drinking Coco,9/11/2023,"$4,381 ",328
Camilla Castle,USA   ,Baker's Choco Chips,9/11/2023,"$6,721 ",453
Karlen McCaffrey,Australia   ,Fruit & Nut Bars,9/11/2023,"$2,592 ",110
Kaine Padly,India   ,Peanut Butter Cubes,9/11/2023,"$5,002 ",576
Barr Faughny,Australia ,Raspberry Choco,9/11/2023,"$2,624 ",588
Kelci Walkden,New Zealand  ,85% Dark Bars,9/11/2023,"$4,169 ",304
Camilla Castle,USA,Orange Choco,9/11/2023,"$4,365 ",532
Gunar Cockshoot,USA   ,Caramel Stuffed Bars,9/11/2023,"$10,233 ",704
Jehu Rudeforth,USA ,Choco Coated Almonds,9/11/2023,"$2,549 ",196
Andria Kimpton,USA   ,White Choc,10/11/2023,"$4,784 ",210
Roddy Speechley,India   ,Eclairs,10/11/2023,"$3,427 ",251
Kaine Padly,USA ,Eclairs,10/11/2023,"$6,939 ",212
Gunar Cockshoot,New Zealand  ,Mint Chip Choco,10/11/2023,"$1,157 ",82
Andria Kimpton,USA,Organic Choco Syrup,10/11/2023,"$7,013 ",619
Ches Bonnell,New Zealand ,Fruit & Nut Bars,10/11/2023,"$8,163 ",966
Wilone O'Kielt,Canada   ,Caramel Stuffed Bars,10/11/2023,"$2,678 ",268
Beverie Moffet,Canada  ,Organic Choco Syrup,10/11/2023,"$10,793 ",223
Husein Augar,Australia  ,Milk Bars,10/11/2023,"$7,724 ",73
Andria Kimpton,UK ,Fruit & Nut Bars,10/11/2023,"$8,624 ",1034
Camilla Castle,UK   ,99% Dark & Pure,10/11/2023,"$8,303 ",138
Gigi Bohling,Australia  ,Smooth Silky Salty,10/11/2023,"$3,204 ",178
Gunar Cockshoot,Australia ,99% Dark & Pure,10/11/2023,"$1,917 ",50
Kelci Walkden,Canada   ,Milk Bars,10/11/2023,"$5,603 ",252
Gigi Bohling,New Zealand,Eclairs,10/11/2023,"$4,916 ",766
Mallorie Waber,India  ,Eclairs,10/11/2023,"$2,930 ",535
Dennison Crosswaite,Canada ,After Nines,10/11/2023,"$10,494 ",291
Barr Faughny,UK,Manuka Honey Choco,10/11/2023,"$4,115 ",158
Dotty Strutley,Canada   ,Choco Coated Almonds,13/11/2023,"$8,611 ",320
Gunar Cockshoot,India,70% Dark Bites,13/11/2023,"$1,751 ",130
Gunar Cockshoot,UK   ,White Choc,13/11/2023,"$5,416 ",329
Marney O'Breen,Canada ,Organic Choco Syrup,13/11/2023,$203 ,440
Marney O'Breen,UK  ,Baker's Choco Chips,13/11/2023,"$4,516 ",141
Oby Sorrel,USA   ,Baker's Choco Chips,13/11/2023,"$6,023 ",331
Husein Augar,UK   ,Almond Choco,13/11/2023,"$9,792 ",440
Jehu Rudeforth,USA  ,Raspberry Choco,13/11/2023,"$6,593 ",2420
Dennison Crosswaite,Canada,Mint Chip Choco,13/11/2023,$569 ,63
Dennison Crosswaite,Australia ,Smooth Silky Salty,13/11/2023,$522 ,361
Dennison Crosswaite,Australia,70% Dark Bites,13/11/2023,$808 ,101
Roddy Speechley,India   ,50% Dark Bites,13/11/2023,$347 ,632
Barr Faughny,India ,50% Dark Bites,13/11/2023,"$2,500 ",548
Wilone O'Kielt,Australia,99% Dark & Pure,13/11/2023,"$8,296 ",283
Dotty Strutley,UK  ,Spicy Special Slims,13/11/2023,"$4,417 ",21
Mallorie Waber,USA,70% Dark Bites,13/11/2023,$817 ,203
Oby Sorrel,Australia   ,Eclairs,13/11/2023,"$5,596 ",276
Jehu Rudeforth,New Zealand ,Peanut Butter Cubes,13/11/2023,"$11,102 ",228
Kaine Padly,Canada ,Spicy Special Slims,13/11/2023,"$2,642 ",249
Mallorie Waber,UK,Orange Choco,13/11/2023,"$1,049 ",464
Husein Augar,UK,Fruit & Nut Bars,13/11/2023,"$13,669 ",104
Curtice Advani,Canada,Caramel Stuffed Bars,13/11/2023,"$3,992 ",480
Gigi Bohling,Australia   ,85% Dark Bars,13/11/2023,$923 ,388
Beverie Moffet,India ,50% Dark Bites,13/11/2023,"$6,757 ",37
Oby Sorrel,UK ,After Nines,13/11/2023,"$7,808 ",594
Oby Sorrel,India  ,50% Dark Bites,13/11/2023,"$4,772 ",33
Husein Augar,Australia ,Spicy Special Slims,13/11/2023,"$2,297 ",28
Dotty Strutley,Australia,Baker's Choco Chips,13/11/2023,"$2,583 ",352
Marney O'Breen,UK,70% Dark Bites,13/11/2023,"$12,688 ",2059
Husein Augar,UK ,Eclairs,13/11/2023,"$5,445 ",628
Marney O'Breen,Canada   ,Smooth Silky Salty,14/11/2023,"$1,154 ",614
Marney O'Breen,UK   ,50% Dark Bites,14/11/2023,$2 ,1250
Rafaelita Blaksland,New Zealand   ,Manuka Honey Choco,14/11/2023,$324 ,272
Oby Sorrel,UK,Raspberry Choco,14/11/2023,"$15,869 ",56
Kelci Walkden,New Zealand,Milk Bars,14/11/2023,$545 ,233
Gigi Bohling,USA ,70% Dark Bites,14/11/2023,$997 ,70
Madelene Upcott,USA   ,Manuka Honey Choco,14/11/2023,"$4,424 ",233
Dotty Strutley,USA  ,50% Dark Bites,14/11/2023,"$5,722 ",190
Dennison Crosswaite,Australia  ,After Nines,14/11/2023,"$1,706 ",53
Rafaelita Blaksland,Canada  ,After Nines,14/11/2023,"$7,407 ",451
Gunar Cockshoot,India ,85% Dark Bars,14/11/2023,$500 ,705
Camilla Castle,New Zealand,Organic Choco Syrup,14/11/2023,"$4,262 ",744
Gunar Cockshoot,India  ,Baker's Choco Chips,14/11/2023,"$5,166 ",1239
Oby Sorrel,UK   ,Drinking Coco,14/11/2023,"$5,643 ",265
Rafaelita Blaksland,Australia ,Smooth Silky Salty,14/11/2023,"$10,139 ",675
Oby Sorrel,Australia,Orange Choco,15/11/2023,"$6,318 ",809
Kaine Padly,New Zealand  ,Raspberry Choco,15/11/2023,"$1,206 ",318
Jehu Rudeforth,New Zealand,Eclairs,15/11/2023,"$7,805 ",344
Dotty Strutley,UK ,Drinking Coco,15/11/2023,"$5,731 ",1051
Curtice Advani,India   ,99% Dark & Pure,15/11/2023,"$7,486 ",319
Camilla Castle,USA,70% Dark Bites,15/11/2023,"$7,407 ",37
Brien Boise,New Zealand   ,Mint Chip Choco,15/11/2023,"$1,492 ",90
Gunar Cockshoot,India   ,Drinking Coco,15/11/2023,"$5,452 ",916
Ches Bonnell,USA ,Organic Choco Syrup,15/11/2023,"$11,284 ",910
Barr Faughny,UK,Peanut Butter Cubes,15/11/2023,"$7,281 ",60
Mallorie Waber,New Zealand ,Organic Choco Syrup,15/11/2023,"$13,136 ",14
Dennison Crosswaite,Australia  ,Spicy Special Slims,15/11/2023,$830 ,309
Curtice Advani,India   ,70% Dark Bites,15/11/2023,"$2,261 ",53
Oby Sorrel,Canada  ,Drinking Coco,15/11/2023,"$7,088 ",364
Kelci Walkden,New Zealand ,Baker's Choco Chips,15/11/2023,"$4,253 ",566
Gunar Cockshoot,USA,Organic Choco Syrup,15/11/2023,"$10,631 ",364
Dotty Strutley,Canada   ,Almond Choco,16/11/2023,"$13,568 ",167
Van Tuxwell,Canada,Eclairs,16/11/2023,"$1,062 ",415
Barr Faughny,USA ,Drinking Coco,16/11/2023,"$7,340 ",140
Rafaelita Blaksland,UK,Orange Choco,16/11/2023,$502 ,11
Oby Sorrel,Canada,Baker's Choco Chips,16/11/2023,$547 ,313
Gunar Cockshoot,India  ,Caramel Stuffed Bars,16/11/2023,"$5,355 ",325
Jehu Rudeforth,Canada  ,99% Dark & Pure,16/11/2023,"$5,726 ",50
Madelene Upcott,New Zealand ,Milk Bars,16/11/2023,"$2,907 ",242
Beverie Moffet,Australia ,99% Dark & Pure,16/11/2023,"$5,245 ",613
Karlen McCaffrey,Canada  ,Choco Coated Almonds,16/11/2023,"$8,114 ",753
Dotty Strutley,USA ,White Choc,16/11/2023,"$3,238 ",149
Jan Morforth,Australia,99% Dark & Pure,16/11/2023,"$4,759 ",70
Wilone O'Kielt,UK,White Choc,16/11/2023,"$4,280 ",542
Marney O'Breen,India ,White Choc,16/11/2023,"$11,871 ",140
Roddy Speechley,USA,Caramel Stuffed Bars,16/11/2023,"$9,925 ",219
